,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
LOC285419,0,0,0,0,0,0,0,0,0,0,0,0,-1.081920959
LOC285422,-1.241200216,1.082283486,0,0,0,0,1.082283486,0,-1.318582548,0,0,0,0
LOC285441,0,-1.198155915,0,0,0,0,-1.198155915,0,0,0,0,0,1.406836371
LOC285484,0,-1.033825111,0,0,0,0,-1.033825111,0,0,0,0,0,0
LOC285548,0,-1.390983669,0,0,0,0,-1.390983669,0,0,0,0,0,1.2393816
LOC285556,0,-1.120161774,0,0,0,0,-1.120161774,0,0,0,0,0,1.082264213
LOC285629,-1.625568066,-1.174974939,0,0,0,0,-1.174974939,0,0,0,0,0,-1.359942748
LOC285692,0,1.072517437,0,0,0,0,1.072517437,0,0,1.155782309,0,0,0
LOC285696,0,-1.232508048,0,0,0,0,-1.232508048,0,0,0,0,0,1.304377099
LOC285740,0,-1.083726649,1.03532382,0,0,0,-1.083726649,1.03532382,0,0,0,0,-1.598216652
LOC285758,0,-1.607022509,0,0,0,0,-1.607022509,0,0,0,0,0,-1.577798047
LOC285766,0,1.038986948,0,0,0,0,1.038986948,0,0,0,0,0,0
LOC285768,0,1.062467514,0,0,0,0,0,0,0,1.126302397,0,0,0
LOC285857,0,0,0,0,0,0,0,0,1.217176609,1.213775067,0,0,0
LOC285878,0,-1.064753297,0,0,0,0,-1.064753297,0,0,0,0,0,-1.135392388
LOC285943,0,0,0,0,0,0,0,0,0,0,0,0,-1.154080599
LOC285954,0,0,0,0,0,0,0,0,0,0,0,0,-1.207171581
LOC285957,-1.330206236,-2.273757854,0,0,0,0,-2.273757854,0,-1.341750551,-1.474154105,0,0,-1.479234262
LOC285965,0,1.283413622,1.181212257,0,0,0,0,1.181212257,0,1.302070821,0,0,0
LOC285972,0,-1.51447182,0,0,0,0,-1.51447182,0,0,0,0,0,-1.516155982
LOC286002,0,-1.224079387,0,0,0,0,-1.224079387,0,0,0,0,0,0
LOC286052,-1.338240067,-2.049576096,-1.652367949,0,0,0,-2.049576096,-1.652367949,0,0,0,0,-2.759353681
LOC286058,0,-1.585052073,0,0,0,0,0,0,-1.842292492,-1.846098157,0,0,0
LOC286059,0,1.176382789,0,0,0,0,0,0,0,0,0,0,1.543312448
LOC286063,0,-2.479454843,-2.072414481,0,0,0,0,-2.072414481,0,0,0,0,-2.194184817
LOC286068,0,1.337650795,1.075299983,0,0,0,0,1.075299983,0,0,0,0,1.420697721
LOC286071,1.98645587,-3.441487355,-1.962334786,0,0,0,0,-1.962334786,1.87864093,1.853549407,0,0,-1.341437592
LOC286087,0,-1.486627417,0,0,0,0,-1.486627417,-1.194105988,0,-1.300320551,0,0,-1.548496217
LOC286094,0,0,0,0,0,0,0,0,0,0,0,0,-1.106581174
