,all_virus_meta_GSE79172_MERS_MDC001_3_24,all_virus_meta_GSE79218_MERS_MMVE001_12_48,all_virus_mock_meta_GSE79218_MERS_MMVE001_24_36,all_virus_mock_meta_GSE68820_SARS_lung_wt_4_7,all_virus_mock_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_2_7,all_virus_mock_meta_GSE79218_MERS_MMVE001_12_48,all_virus_meta_GSE79218_MERS_MMVE001_24_36,all_virus_meta_GSE79172_MERS_MDC001_0_24,all_virus_meta_GSE79172_MERS_MDC001_0_12,all_virus_meta_GSE68820_SARS_lung_TLR3_2_4,all_virus_meta_GSE68820_SARS_lung_wt_4_7,all_virus_meta_GSE79218_MERS_MMVE001_0_48
A1BG,0,1.107880708,0,0,0,0,1.107880708,0,0,-1.193824337,0,0,0
A1BG-AS1,0,1.814002288,0,0,0,0,1.814002288,1.200219486,0,0,0,0,1.452076803
A2LD1,1.700670068,-1.764840655,0,0,0,0,0,-1.203771162,1.320875478,1.191701297,0,0,-1.818599518
A2M,2.574683388,-3.237512413,0,0,0,-1.51716381,0,0,0,0,0,0,-2.906252981
A4GALT,0,-1.329448348,0,0,0,0,-1.329448348,0,0,1.152182368,0,0,-2.015280052
A4GNT,0,0,0,0,0,0,0,0,1.20033764,1.242692226,0,0,0
AAA1,0,0,0,0,0,0,0,0,0,0,0,0,-1.053992625
AAAS,0,0,-1.379417781,1.256334128,0,1.407545836,0,-1.379417781,0,-1.272551397,0,1.256334128,1.750423743
AACS,0,1.901761888,1.15779018,0,0,0,1.901761888,1.15779018,0,0,0,1.169447405,1.781624775
AADAC,0,3.603497991,0,1.537469895,1.710027815,4.933813839,3.603497991,2.339714597,0,-1.146162613,1.710027815,1.537469895,2.382279515
AADACL2,0,1.075237198,0,0,0,0,1.075237198,0,0,0,0,0,0
AADACL3,-1.326970295,-1.361865467,0,0,0,0,-1.361865467,0,0,-1.133470724,0,0,-1.801400168
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,-1.499459494
AADAT,0,-1.297878847,0,0,0,0,-1.297878847,1.209835169,0,1.148574298,0,0,0
AAGAB,1.286414014,-1.283447706,-1.152411233,1.123585071,0,1.184932465,-1.283447706,-1.152411233,1.334571424,1.255698523,0,1.123585071,0
AAK1,0,-1.406858872,0,0,0,0,-1.406858872,0,0,0,0,0,-1.380780836
AAMP,-1.293595527,3.074178372,1.484547472,0,0,0,3.074178372,1.484547472,0,-1.203635305,0,0,2.253944514
AANAT,0,0,0,0,-1.633119177,-1.699470162,0,0,0,0,-1.633119177,0,0
AARD,0,0,0,0,2.264008415,2.297949845,0,0,0,0,2.264008415,0,0
AARS,0,-1.264295784,-1.452933847,0,-1.546368987,-1.635056562,-1.264295784,-1.452933847,0,0,-1.546368987,0,3.221920789
AARS2,1.565029241,1.328129115,1.103684362,0,1.265275773,1.257475157,1.328129115,1.103684362,1.268467639,1.330975793,1.265275773,0,1.713785301
AARSD1,0,2.192316347,1.437456449,0,1.443386559,1.204359565,0,1.437456449,0,1.330585304,1.443386559,0,2.039926344
AASDH,0,1.311685372,0,0,1.241956195,1.187274071,1.311685372,0,0,1.598284185,1.241956195,0,0
AASDHPPT,0,1.444964858,0,0,0,-1.12225634,1.444964858,0,0,1.257209138,0,0,1.332430426
AASS,0,0,0,1.270647748,1.795885654,2.391250685,0,0,0,0,1.795885654,1.270647748,-2.589842404
AATF,0,2.82799953,0,0,-1.312311469,-1.427051182,2.82799953,1.884187098,0,0,-1.312311469,0,4.182155787
AATK,0,-1.996554836,0,0,1.531445064,1.534786133,-1.996554836,-1.511326506,0,0,1.531445064,0,0
AATK-AS1,0,0,0,0,0,0,0,0,0,0,0,0,-1.139919103
ABAT,2.019819198,-1.602283591,-1.209504468,-1.277316013,1.50732292,0,0,-1.209504468,1.741492857,1.297528979,1.50732292,-1.277316013,-1.750608465
ABCA1,-1.693263306,-1.520132317,0,0,1.770269652,1.759529453,0,0,-1.579102993,-1.210275856,1.770269652,0,-3.411373124
ABCA10,0,-1.575341201,0,0,0,0,0,0,0,1.576834572,0,0,-1.389877725
ABCA11P,1.305942381,0,0,0,0,0,0,0,1.493489492,1.919391124,0,0,0
ABCA13,1.55330041,1.132578143,0,0,0,0,1.132578143,0,1.78342373,1.300893024,0,0,0
ABCA17P,1.320055865,0,0,0,0,0,0,0,1.530953831,1.532189235,0,0,0
ABCA2,0,0,0,1.378248139,1.606734027,2.249044583,0,0,0,0,1.606734027,1.378248139,0
ABCA3,1.349882943,1.177470128,1.211699912,0,1.400927359,1.30061463,0,1.211699912,1.462737846,1.294307053,1.400927359,0,1.252815362
ABCA4,0,-1.783181609,0,0,-1.945741501,-1.592241991,0,0,0,0,-1.945741501,0,-6.167781658
ABCA5,-1.723583846,-2.647385982,0,0,0,1.300865578,-2.647385982,0,0,0,0,0,-3.357083687
ABCA6,4.919099727,-2.587226362,-1.302348662,-1.182432231,1.900290694,1.557663789,0,-1.302348662,3.36457413,1.69976926,1.900290694,-1.182432231,-3.557607319
ABCA7,1.970912613,1.071775781,0,0,1.241543679,0,1.071775781,0,2.452652347,1.55368441,1.241543679,0,0
ABCA8,0,-1.27101123,0,0,0,0,-1.27101123,0,0,0,0,0,0
ABCA9,0,-1.781291004,-1.261888342,-1.341904178,2.945445136,2.938060354,-1.781291004,-1.261888342,0,1.152173007,2.945445136,-1.341904178,-1.97908466
ABCB1,-1.474355463,1.494728473,1.279192693,0,0,0,1.494728473,1.279192693,-1.591426901,-1.499171806,0,0,1.455137899
ABCB10,0,0,1.255459797,-1.160685744,0,0,0,1.255459797,0,0,0,-1.160685744,0
ABCB11,0,0,0,0,0,1.530154838,0,0,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,-1.640870017,0,0,0,1.054880674
ABCB5,0,-1.065135085,0,0,0,0,-1.065135085,0,0,0,0,0,0
ABCB6,0,1.417250388,0,0,0,1.131954538,0,0,0,1.180517723,0,0,1.825427399
ABCB7,1.258912237,1.340468997,0,0,0,0,0,1.211770471,1.352943593,1.320341101,0,0,-1.531411313
ABCB8,0,0,-1.089966882,0,1.687825677,1.676176801,0,-1.089966882,0,0,1.687825677,0,0
ABCB9,0,-1.154200905,0,1.367234612,1.445426265,2.241765286,-1.154200905,0,0,0,1.445426265,1.367234612,1.592049648
ABCC1,0,1.387480679,-1.192605002,-1.201623974,0,-1.237994417,1.387480679,-1.192605002,-1.774532541,-1.502615829,0,-1.201623974,1.509815556
ABCC10,0,-1.430508797,0,0,0,0,-1.430508797,-1.20925092,0,0,0,0,0
ABCC11,0,0,-1.140544207,0,0,0,0,-1.140544207,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,-1.08415546
ABCC13,0,-1.156681029,0,0,0,0,-1.156681029,0,0,0,0,0,-1.18778361
ABCC2,1.186180098,-1.041687469,1.121353872,0,0,0,-1.041687469,1.121353872,0,0,0,0,1.124028431
ABCC3,2.621054449,1.363069138,0,0,1.3601071,1.110084786,1.363069138,1.121845387,0,0,1.3601071,0,2.707985241
ABCC4,0,3.267234098,1.404345545,1.184402036,0,1.148691025,3.267234098,1.404345545,0,0,0,1.184402036,4.013045155
ABCC5,1.553318815,-1.304218676,0,0,1.157492303,-1.174230975,0,-1.222694354,1.468504025,1.455930252,1.157492303,-1.240977159,-1.766395965
ABCC6,0,-1.111851577,0,0,0,0,-1.111851577,0,0,0,0,0,-1.845440124
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,-1.24707595
ABCC8,0,-1.140267576,0,-1.592524867,-1.569434511,-2.177723356,-1.140267576,0,0,0,-1.569434511,-1.592524867,-1.325029711
ABCC9,0,1.172880953,1.056967554,0,2.820495256,2.197821655,1.172880953,1.056967554,0,0,2.820495256,-1.260414891,1.131510957
ABCD1,0,-1.905713978,0,0,0,1.25114587,-1.905713978,0,-1.182336133,-1.199839668,0,0,1.196487192
ABCD2,1.448437896,0,0,-1.572922232,2.010238988,0,0,0,1.785629944,1.827527749,2.010238988,-1.572922232,0
ABCD3,-1.425351117,0,0,0,1.226697049,1.173176236,0,0,-1.329828972,0,1.226697049,0,-1.428623815
ABCD4,0,-1.516036911,-1.508050585,0,1.455204666,1.182547337,-1.516036911,-1.508050585,0,0,1.455204666,0,-1.774251293
ABCE1,-1.334835178,1.798782341,1.213614197,0,0,-1.262000999,0,1.213614197,-1.366630637,0,0,0,3.562887877
ABCF1,-1.225588995,1.970003778,1.600288553,0,0,1.170157872,0,1.600288553,-1.36790147,-1.500576569,0,0,2.379659666
ABCF2,0,1.654253319,0,0,0,-1.159083592,1.654253319,0,-1.297913616,-1.265750546,0,0,3.400603608
ABCF3,0,1.402835333,1.255427946,0,0,0,0,1.255427946,0,-1.166928254,0,0,2.257453789
ABCG1,0,-1.778822666,0,0,0,1.430589377,-1.778822666,0,0,0,0,0,0
ABCG2,0,0,0,0,0,-1.247769299,0,0,0,0,0,0,0
ABCG4,0,1.111679029,0,-1.475368583,1.96661251,1.378878576,1.111679029,0,0,0,1.96661251,-1.475368583,0
ABCG8,0,-1.116942389,0,0,0,0,-1.116942389,0,0,0,0,0,-1.506611723
ABHD1,0,-1.150813169,-1.159527214,0,0,0,-1.150813169,-1.159527214,0,0,0,0,0
ABHD10,-1.352844038,0,0,0,0,-1.151931415,0,0,-1.341587798,1.295154984,0,0,0
ABHD11,0,0,1.176018698,0,-1.216554454,-1.369744978,0,1.176018698,0,0,-1.216554454,0,1.216394631
ABHD11-AS1,0,1.061468128,0,0,0,0,1.061468128,0,0,0,0,0,0
ABHD12,0,1.800683132,1.215859359,0,0,0,0,1.215859359,-1.156050444,-1.247198492,0,0,0
ABHD12B,0,0,-1.182582121,0,0,0,0,-1.182582121,0,0,0,0,0
ABHD13,-1.487015034,-1.235752703,0,0,0,-1.234886753,-1.235752703,-1.281370941,-1.88841487,-1.18381124,0,0,-1.568213314
ABHD14A,1.381017227,1.337471473,1.451880943,-1.249677837,1.329375592,1.102309906,1.337471473,1.451880943,1.147869242,0,1.329375592,-1.249677837,0
ABHD14B,1.278362695,1.234832478,1.174871631,0,1.660716623,1.652506339,1.234832478,1.174871631,0,0,1.660716623,0,0
ABHD15,1.276287846,0,0,0,0,0,0,0,1.229382143,1.166058649,0,0,-1.452471945
ABHD16A,0,1.63854118,0,0,-1.297823258,-1.280808391,1.63854118,1.193216654,0,0,-1.297823258,0,1.888177912
ABHD16B,0,-1.08288512,0,0,0,0,-1.08288512,0,0,0,0,0,-1.190814665
ABHD2,-1.259099598,1.847588802,1.702618667,0,0,-1.437765629,1.847588802,1.702618667,0,0,0,0,-1.823279375
ABHD3,0,0,0,-1.16937257,1.236188919,0,0,0,0,1.432145567,1.236188919,-1.16937257,1.406456806
ABHD4,0,-1.314929758,0,-1.146757669,1.346433422,1.304390717,0,0,0,-1.43345981,1.346433422,-1.146757669,-1.388790417
ABHD5,0,2.208314343,0,0,0,-1.14132398,2.208314343,1.716763428,0,0,0,0,1.436695502
ABHD6,0,-4.599575009,0,0,0,-1.166437078,0,-1.343354137,0,1.292391015,0,0,-4.095562219
ABHD8,1.890896753,-2.043950669,0,1.312284652,0,1.157239883,-2.043950669,-1.631990477,1.449413967,1.335399499,0,1.312284652,-2.875032379
ABI1,0,0,0,0,0,-1.159879225,0,0,0,0,0,0,-1.459466422
ABI2,0,0,0,0,1.275768815,1.312054829,0,0,0,1.413576328,1.275768815,0,0
ABI3,0,0,0,0,0,0,0,1.122861233,-1.404220122,-1.293153752,0,0,1.682947847
ABI3BP,0,1.162778312,0,-1.303359134,1.403461249,1.71581865,0,1.281980508,0,0,1.403461249,-1.303359134,-1.577459871
ABL1,0,1.205008476,0,0,1.467532905,1.514769984,1.205008476,0,0,0,1.467532905,0,1.587770296
ABL2,-1.503723424,1.963761287,1.141263226,0,-1.597869321,-1.577519281,1.963761287,1.141263226,-2.281982525,-2.032660797,-1.597869321,0,2.069835544
ABLIM1,0,0,0,0,0,0,0,0,0,-1.151260802,0,0,-1.600403164
ABLIM2,0,-3.000414179,-1.400977565,0,0,-1.18739748,0,-1.400977565,1.238961986,1.17640235,0,0,-1.773066923
ABLIM3,0,0,0,-1.214055493,1.270935681,1.096448599,0,0,0,0,1.270935681,-1.214055493,1.140098572
ABO,0,0,0,0,0,0,0,0,0,0,0,0,-1.462416126
ABP1,2.034702351,0,0,-1.384187401,-2.223269027,-4.103726556,0,0,2.050814918,1.507368209,-2.223269027,-1.384187401,0
ABR,0,-1.61729231,0,0,-1.264564231,0,0,0,-1.191440301,-1.190783023,-1.264564231,0,0
ABRA,0,1.069418721,0,0,-2.332234366,-1.581346102,0,0,0,0,-2.332234366,0,-1.168578202
ABT1,-1.290969819,0,-1.205806062,0,-1.159006573,0,0,-1.205806062,-1.696309569,-1.338470679,-1.159006573,0,1.326872793
ABTB1,1.221671457,-2.217997611,0,0,1.359486551,1.592552837,0,0,1.383914883,1.10030054,1.359486551,0,-2.8517829
ABTB2,0,1.744460252,-1.504775359,1.160888394,-2.115470998,-1.609930511,0,-1.504775359,0,0,-2.115470998,1.160888394,0
ACAA1,1.344762066,0,1.251325717,0,0,0,0,1.251325717,1.537633402,1.34802359,0,0,-1.275008251
ACAA2,0,1.801241076,1.632240209,-1.145296863,1.346267115,1.294587626,0,1.632240209,0,0,1.346267115,-1.145296863,0
ACACA,1.245951795,0,-1.275588456,0,0,0,0,-1.275588456,0,0,0,0,1.562559137
ACACB,1.298448485,-1.600217799,0,0,1.477268269,1.499287081,0,0,1.305008676,0,1.477268269,0,-2.094418549
ACAD10,1.41810478,-1.619658956,0,0,1.880164943,1.715603439,-1.619658956,0,0,0,1.880164943,0,-1.70160383
ACAD11,0,0,0,-1.118929096,1.287653455,0,0,0,0,1.554019045,1.287653455,-1.118929096,-1.593188181
ACAD8,0,1.256559153,0,0,0,0,0,1.268053042,0,0,0,0,0
ACAD9,0,1.497811925,0,0,1.183120316,1.145587854,1.497811925,0,1.328911699,1.185837651,1.183120316,0,1.727873214
ACADL,0,0,0,-1.196220301,-1.715307682,-1.916796652,0,0,0,0,-1.715307682,-1.196220301,0
ACADM,1.312543599,1.357254026,0,0,1.161320548,1.122547248,1.357254026,1.448746583,1.438892521,1.504692993,1.161320548,0,-1.350034862
ACADS,0,1.210725828,0,0,1.704544228,1.342755278,1.210725828,0,0,0,1.704544228,0,0
ACADSB,0,1.322125178,0,-1.338286209,0,-1.523834658,1.322125178,0,0,0,0,-1.338286209,-1.770999684
ACADVL,1.378129196,1.222464399,0,-1.128120212,0,-1.278585872,1.222464399,0,0,0,0,-1.128120212,1.800458286
ACAN,0,-1.266720233,0,0,0,-1.349843947,-1.266720233,0,0,0,0,0,-1.229376065
ACAP1,1.415123687,0,0,1.956722703,1.603415173,3.62268781,0,0,1.866746184,1.537654666,1.603415173,1.956722703,0
ACAP2,0,0,0,-1.117823049,0,-1.245200129,0,0,0,0,0,-1.117823049,0
ACAP3,0,-1.823707158,0,1.154453109,1.243280608,1.418704363,-1.823707158,0,0,-1.342898806,1.243280608,1.154453109,-1.201410766
ACAT1,1.468202248,1.567242918,0,0,0,-1.186863981,1.567242918,1.447639409,1.652889879,1.444142438,0,0,-1.342514897
ACAT2,0,1.962374196,0,1.355924707,-1.430116069,-1.314026225,1.962374196,1.322017232,0,0,-1.430116069,1.355924707,0
ACBD3,-1.900832788,1.601911049,-1.181332252,0,0,-1.340712341,1.601911049,-1.181332252,-1.456209012,0,0,0,1.883344671
ACBD4,1.249143096,-1.1122546,0,0,0,1.276817086,0,0,1.20007386,0,0,0,-1.25451415
ACBD5,0,-2.126945117,-1.358201819,-1.117871791,0,-1.121644181,-2.126945117,-1.358201819,0,0,0,-1.117871791,-1.780928531
ACBD6,0,1.624071634,0,0,1.196867986,1.123899299,0,1.41905122,0,-1.206411725,1.196867986,0,-1.142101214
ACBD7,0,-1.463260651,0,0,1.561563808,1.334182264,0,-1.386086976,0,0,1.561563808,0,0
ACCN1,1.338454301,-1.503090127,0,0,0,0,-1.503090127,0,0,1.276003558,0,0,-1.710405751
ACCN2,0,1.079465162,0,0,0,0,1.079465162,0,0,0,0,0,0
ACCN3,0,0,0,0,0,0,0,0,1.463468769,1.312984174,0,0,0
ACCN4,0,-2.533803053,0,0,0,0,0,-1.678371581,-1.671779008,-1.921889712,0,0,-2.340335741
ACCN5,0,0,0,0,0,0,0,0,0,1.144494769,0,0,0
ACCS,1.680621478,-1.684263712,0,1.143221308,1.317382361,1.799136697,-1.684263712,0,1.413993677,0,1.317382361,1.143221308,-1.420979412
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,-1.10437498
ACD,0,1.409781603,0,0,0,-1.150547847,1.409781603,1.20503385,0,0,0,0,1.453976565
ACE,1.255770643,-1.451070751,0,-1.252774218,1.704469041,-1.108517026,-1.451070751,0,0,0,1.704469041,-1.252774218,-1.549453251
ACE2,0,0,0,0,1.703649212,1.24689681,0,0,0,0,1.703649212,0,0
ACER1,0,-1.53384759,-1.342207898,0,0,0,-1.53384759,-1.342207898,0,-2.477818571,0,0,0
ACER2,0,-1.165912954,0,0,0,0,-1.165912954,0,0,-1.563627151,0,0,-1.300134298
ACER3,-1.340948023,0,0,-1.227038662,-1.161393385,-1.359646118,0,0,0,0,-1.161393385,-1.227038662,1.592858234
ACHE,1.28124476,-1.198165646,-1.318481099,0,0,0,0,-1.318481099,0,0,0,0,0
ACIN1,0,0,0,0,0,0,0,-1.446837299,0,0,0,0,0
ACLY,0,3.260775088,1.617120318,0,0,1.09471098,0,1.617120318,0,0,0,0,2.465231907
ACN9,0,1.77705946,1.541278847,0,1.280675851,1.174330494,0,1.541278847,0,1.17716914,1.280675851,0,1.896429182
ACO1,0,1.271176335,1.347901707,0,1.635102603,1.567828865,1.271176335,1.347901707,0,0,1.635102603,0,0
ACO2,1.265478955,1.140286776,1.162999834,0,1.246840307,1.27998994,1.140286776,1.162999834,0,0,1.246840307,0,-1.29748652
ACOT1,0,-1.816508445,-1.068871464,0,-1.449502762,-1.717302504,0,-1.068871464,0,-1.444974185,-1.449502762,0,-2.341923262
ACOT11,0,0,0,0,1.179307915,1.23026297,0,0,0,-1.216969558,1.179307915,0,1.505882253
ACOT12,1.402176316,-1.111842505,0,0,0,0,-1.111842505,0,1.358711252,1.347596959,0,0,-1.31272822
ACOT13,1.528897356,1.966949518,1.348238407,-1.129831893,1.690067653,1.506147112,1.966949518,1.348238407,1.526981586,1.457627692,1.690067653,-1.129831893,1.495229483
ACOT4,0,1.169784824,1.145516343,0,0,-1.427322118,0,1.145516343,0,0,0,0,1.506161129
ACOT6,0,-1.097805381,0,0,1.732455128,1.946658361,-1.097805381,0,0,0,1.732455128,0,-1.11857287
ACOT7,0,8.801667602,0,0,1.364337768,1.203163786,0,3.736474214,0,-1.245020446,1.364337768,0,9.444751357
ACOT8,0,0,0,0,0,0,0,0,0,-1.16327861,0,0,0
ACOT9,-1.237521332,2.69433066,0,0,-1.484166073,-1.920023349,2.69433066,0,0,1.270371525,-1.484166073,0,1.304801775
ACOX1,0,1.275221315,1.36109019,0,0,-1.101598558,0,1.36109019,0,0,0,0,-1.812537655
ACOX2,0,-1.240696922,0,-1.157545191,0,-1.231313061,-1.240696922,0,0,1.250259513,0,-1.157545191,0
ACOX3,0,1.862435353,1.387044886,0,0,1.385925412,0,1.387044886,0,0,0,0,1.343497256
ACOXL,0,0,0,0,1.405356384,1.630482039,0,0,0,0,1.405356384,0,0
ACP1,-1.222918363,1.361725736,0,0,0,0,1.361725736,1.281143456,0,0,0,0,1.113637957
ACP2,0,-1.328333431,0,0,-1.391940542,-1.4219067,0,-1.128818002,0,-1.14418041,-1.391940542,0,-1.297344636
ACP5,1.437063214,0,0,1.636980668,-1.431205596,1.206933702,0,0,0,0,-1.431205596,1.636980668,-2.146915615
ACP6,1.306487633,-1.874009125,0,0,1.360941179,1.433351993,0,0,1.340109591,1.179597313,1.360941179,0,2.437731313
ACPL2,0,-1.37791334,0,0,1.249005223,1.286050196,-1.37791334,0,1.438896507,0,1.249005223,0,-1.432728233
ACPP,1.440341678,0,-1.0234858,0,-1.30838106,0,0,-1.0234858,0,1.255010662,-1.30838106,0,-1.037996645
ACPT,0,-2.940373492,0,0,0,0,0,0,0,0,0,0,0
ACR,0,-1.810431544,-1.362716636,1.303953883,0,-1.580560022,-1.810431544,-1.362716636,0,1.226237836,0,1.303953883,0
ACRBP,1.407796909,-1.492417,-1.311140664,0,1.355700097,1.751397831,0,-1.311140664,1.468719011,0,1.355700097,0,-1.807362317
ACRC,1.455593076,0,0,0,0,0,0,0,0,0,0,0,2.902772981
ACRV1,0,-1.116284424,0,0,0,0,-1.116284424,0,1.313176841,1.181621105,0,0,1.10595665
ACSBG1,0,0,0,5.712571344,0,4.9969625,0,0,0,0,0,5.712571344,0
ACSBG2,1.447976645,-1.524050204,0,0,0,0,-1.524050204,0,0,0,0,0,1.490135612
ACSF2,3.127600787,-1.752372776,0,1.319606384,-1.831251556,-1.447660666,0,0,2.187393797,1.256143482,-1.831251556,1.319606384,-1.758612303
ACSF3,1.36675021,0,0,-1.11900283,0,1.245600549,0,0,0,0,0,-1.11900283,1.408309797
ACSL1,-1.754529816,1.749870021,1.276349102,0,-1.336403954,0,0,1.276349102,-1.895645501,0,-1.336403954,0,1.476556623
ACSL3,0,-1.328388834,0,-1.120371637,0,1.100457984,-1.328388834,0,0,1.312283499,0,-1.120371637,-1.48568945
ACSL4,-1.542577722,3.698186308,1.402782167,-1.206869733,1.16275594,-1.107357035,3.698186308,1.402782167,-1.622599868,0,1.16275594,-1.206869733,2.792691973
ACSL5,0,-1.322089131,-1.21381112,0,1.216488036,1.36176036,0,-1.21381112,-1.305556576,0,1.216488036,0,-1.224624326
ACSL6,0,1.741956654,0,0,0,0,0,1.135782152,0,0,0,0,1.927072707
ACSM1,0,0,0,-1.917737032,1.724131746,-1.60942356,0,0,0,0,1.724131746,-1.917737032,-1.083539934
ACSM2B,0,-1.572396557,0,0,0,0,0,0,0,1.277381079,0,0,-1.888420706
ACSM3,1.494154725,-1.132465325,1.322450983,0,0,-2.195482272,-1.132465325,1.322450983,1.4707837,0,0,0,0
ACSM5,0,-2.204154809,0,0,0,0,0,-1.223889146,0,0,0,0,-2.350842882
ACSS1,1.522772654,1.513848775,1.188257277,0,0,1.76191629,1.513848775,1.188257277,1.711463813,1.31923615,0,0,1.076390402
ACSS2,1.434453761,-2.193612941,0,0,1.299125222,1.429601469,-2.193612941,0,0,-1.251581495,1.299125222,0,-1.423934433
ACSS3,0,-1.133397213,-1.407228295,0,1.586071357,0,-1.133397213,-1.407228295,0,0,1.586071357,-1.19697591,-1.226417082
ACTA1,0,1.1369956,0,0,0,-1.20973353,1.1369956,0,-1.15180258,-1.107994284,0,0,-1.099755709
ACTA2,2.069857568,7.739819915,0,-1.172754706,-1.344834437,-1.235116411,0,2.711444746,2.002683095,1.644774,-1.344834437,-1.172754706,5.968914737
ACTB,0,0,0,1.276371268,0,0,0,0,0,0,0,1.276371268,1.748457866
ACTBL2,0,1.30631162,0,0,0,0,1.30631162,0,0,0,0,0,1.731147701
ACTC1,0,0,-1.065744607,0,0,0,0,-1.065744607,0,0,0,0,-1.063594843
ACTG1,0,2.65472166,2.338728168,1.318057434,0,1.38009741,2.65472166,2.338728168,0,0,0,1.318057434,3.102247656
ACTG2,0,1.68033159,0,1.255809616,0,0,0,0,0,0,0,1.255809616,1.665738923
ACTL6A,0,2.600238623,1.704182915,0,-1.167221128,-1.088991864,2.600238623,1.704182915,0,1.217104144,-1.167221128,0,1.853344018
ACTL6B,0,0,0,0,0,0,0,0,0,-1.206421016,0,0,0
ACTL7A,0,-1.143524268,0,0,0,0,-1.143524268,0,0,0,0,0,-1.234111257
ACTL7B,0,1.098997739,-1.278966555,0,0,0,1.098997739,-1.278966555,0,-1.17243061,0,0,0
ACTL8,0,-1.387019246,0,0,0,0,-1.387019246,0,0,0,0,0,-1.891709517
ACTN1,-1.253201096,2.464790737,1.419263454,0,0,-1.643136442,0,1.419263454,0,-1.180880564,0,0,1.390407919
ACTN2,0,-1.189723701,0,0,0,1.275977492,0,0,0,-1.415154994,0,0,-1.615288349
ACTN3,0,1.906564147,1.247311582,0,0,0,0,1.247311582,0,0,0,0,1.32787985
ACTN4,0,0,0,0,0,0,0,0,-1.45054568,-1.387789173,0,0,1.570426741
ACTR10,0,0,0,0,0,0,0,0,0,0,0,0,-1.421115202
ACTR1A,0,1.444162801,1.2663781,1.120242966,0,1.079130459,0,1.2663781,0,-1.310133821,0,1.120242966,1.472808858
ACTR1B,0,0,0,0,0,0,0,0,1.260181721,0,0,0,1.287693536
ACTR2,-1.30229088,1.384073871,1.297511722,0,0,1.172909634,0,1.297511722,-1.27591706,0,0,0,0
ACTR3,0,3.060763142,0,1.191147058,0,1.376189205,3.060763142,1.869137652,-1.203946617,0,0,1.191147058,2.646712605
ACTR3B,1.368949666,-1.582669841,0,0,0,-1.916243704,0,-1.418961256,0,1.232487781,0,0,0
ACTR3BP2,1.279346262,0,0,0,0,0,0,0,1.378440444,1.290946377,0,0,0
ACTR3BP5,0,-2.076056961,0,0,0,0,-2.076056961,0,0,-1.703388204,0,0,-1.879055066
ACTR3C,0,-1.328231419,0,0,0,0,-1.328231419,0,0,0,0,0,-1.250218992
ACTR5,0,1.690784808,0,0,0,0,1.690784808,1.284630786,0,0,0,0,1.980547078
ACTR6,0,0,0,0,0,1.21478739,0,0,0,1.345254746,0,0,-1.30809503
ACTR8,0,-1.166127604,0,0,0,-1.079564029,0,0,0,0,0,0,0
ACTRT1,0,0,0,0,0,0,0,0,0,-1.196376907,0,0,0
ACVR1,-1.521926402,1.19951214,1.266584432,-1.180660617,0,0,0,1.266584432,-1.401898608,-1.300029303,0,-1.180660617,1.287552325
ACVR1B,0,-1.251278733,-1.389583608,0,-1.326047833,-1.524193966,-1.251278733,-1.389583608,0,1.24209015,-1.326047833,0,0
ACVR1C,-1.573431989,1.259372357,1.298486972,0,0,0,1.259372357,1.298486972,0,1.132307492,0,0,1.279567239
ACVR2A,-1.88147806,0,0,-1.144565851,0,-1.171207339,0,0,-2.997641096,-1.98196821,0,-1.144565851,-1.258418037
ACVR2B,0,0,0,0,1.375886019,1.51185981,0,1.298462636,0,1.257876739,1.375886019,0,-1.368515927
ACVRL1,2.700183697,-1.747051295,0,-1.283650609,0,0,-1.747051295,0,2.303619336,2.483908656,0,-1.283650609,-1.206883126
ACY1,1.686682637,1.531265285,0,0,1.250887111,0,1.531265285,1.267545635,1.507538793,0,1.250887111,0,1.95959265
ACY3,-1.380428675,0,0,0,1.415474297,1.431358332,0,0,-1.319552352,-1.157410338,1.415474297,0,0
ACYP1,0,2.336495096,2.039776409,0,1.666392871,1.53473766,0,2.039776409,1.978255785,1.850570126,1.666392871,-1.243287567,1.583468302
ACYP2,0,0,0,-1.253190101,-1.344802917,-1.602245971,0,0,0,0,-1.344802917,-1.253190101,-1.621741646
ADA,1.5056838,-1.567906081,-1.224287776,0,-1.444197959,-1.376110173,0,-1.224287776,1.761853871,1.387644616,-1.444197959,0,-1.33256093
ADAD1,0,0,0,0,0,0,0,0,1.170182997,1.151617251,0,0,0
ADAD2,-1.336827165,-1.840266128,0,0,0,0,-1.840266128,0,0,0,0,0,-3.278347699
ADAL,0,-1.122109097,0,0,0,0,-1.122109097,0,0,1.258777438,0,0,-1.667352509
ADAM10,0,0,0,0,1.351326351,1.161188969,0,0,0,0,1.351326351,0,-1.444373358
ADAM11,0,-1.616026577,-1.312183251,1.153630895,0,1.427491593,0,-1.312183251,0,0,0,1.153630895,0
ADAM15,0,2.273519086,0,0,1.346986086,0,2.273519086,0,0,-1.167694166,1.346986086,0,2.893321955
